"Property","contrast","estimate","SE","df","t.ratio","p.value"
"Mg","Control Post - Preemergent Post",-7.33333333333335,9.37449803088309,38.3348645443832,-0.782264107280691,0.993110342509268
"Mg","Control Post - Soil Inversion Post",-4.00000000000004,9.37449803088309,38.3348645443833,-0.426689513062198,0.999859015393989
"Mg","Fill Sand Post - Preemergent Post",-6.16666666666665,9.37449803088309,38.3348645443833,-0.657812999304214,0.997630944322278
"Mg","Fill Sand Post - Soil Inversion Post",-2.83333333333334,9.37449803088309,38.3348645443831,-0.302238405085721,0.999986377349688
"Mg","Preemergent Post - Soil Inversion Post",3.33333333333332,9.37449803088309,38.3348645443831,0.355574594218493,0.999958756195054
"S","Control Pre - Fill Sand Pre",-0.366666666666663,0.473390624703269,38.6554494246826,-0.774554136758617,0.993516946829528
"S","Control Pre - Preemergent Pre",-0.716666666666664,0.473390624703269,38.6554494246826,-1.51390126730094,0.795361636778203
"S","Control Pre - Soil Inversion Pre",0.300000000000003,0.473390624703269,38.6554494246825,0.633726111893427,0.998130643223064
"S","Control Pre - Control Post",0.46666666666667,0.456830877599174,20.0000000000003,1.02153048217578,0.965417846795812
"S","Control Pre - Fill Sand Post",0.0666666666666692,0.473390624703269,38.6554494246825,0.14082802486521,0.999999931054239
"S","Control Pre - Preemergent Post",0.166666666666669,0.473390624703269,38.6554494246827,0.352070062163015,0.999961498755787
"S","Control Pre - Soil Inversion Post",0.483333333333337,0.473390624703269,38.6554494246825,1.02100318027274,0.968299157062258
"S","Fill Sand Pre - Preemergent Pre",-0.350000000000001,0.473390624703269,38.655449424683,-0.739347130542327,0.995113449380749
"S","Fill Sand Pre - Soil Inversion Pre",0.666666666666666,0.473390624703269,38.655449424683,1.40828024865204,0.847914490449275
"S","Fill Sand Pre - Control Post",0.833333333333333,0.473390624703269,38.6554494246833,1.76035031081505,0.649190487788866
"S","Fill Sand Pre - Fill Sand Post",0.433333333333332,0.456830877599173,20,0.94856401916322,0.976756130018364
"S","Fill Sand Pre - Preemergent Post",0.533333333333332,0.473390624703269,38.655449424683,1.12662419892163,0.94678817117787
"S","Fill Sand Pre - Soil Inversion Post",0.85,0.473390624703269,38.6554494246831,1.79555731703136,0.626672511698616
"S","Preemergent Pre - Soil Inversion Pre",1.01666666666667,0.473390624703269,38.655449424683,2.14762737919437,0.404354121111959
"S","Preemergent Pre - Control Post",1.18333333333333,0.473390624703269,38.6554494246833,2.49969744135738,0.225944342994629
"S","Preemergent Pre - Fill Sand Post",0.783333333333334,0.473390624703269,38.655449424683,1.65472929216615,0.714912652705743
"S","Preemergent Pre - Preemergent Post",0.883333333333333,0.456830877599173,20,1.93361126983272,0.545605665636275
"S","Preemergent Pre - Soil Inversion Post",1.2,0.473390624703269,38.655449424683,2.53490444757368,0.211652995433994
"S","Soil Inversion Pre - Control Post",0.166666666666667,0.47339062470327,38.6554494246833,0.352070062163011,0.999961498755787
"S","Soil Inversion Pre - Fill Sand Post",-0.233333333333334,0.473390624703269,38.655449424683,-0.492898087028216,0.999632871550557
"S","Soil Inversion Pre - Preemergent Post",-0.133333333333334,0.473390624703269,38.655449424683,-0.281656049730411,0.999991613227453
"S","Soil Inversion Pre - Soil Inversion Post",0.183333333333334,0.456830877599173,20,0.401315546569056,0.999890008615723
"S","Control Post - Fill Sand Post",-0.4,0.47339062470327,38.6554494246833,-0.844968149191227,0.989116129739297
"S","Control Post - Preemergent Post",-0.300000000000001,0.473390624703269,38.6554494246833,-0.633726111893422,0.998130643223064
"S","Control Post - Soil Inversion Post",0.0166666666666669,0.47339062470327,38.6554494246833,0.0352070062163017,0.999999999995785
"S","Fill Sand Post - Preemergent Post",0.0999999999999993,0.473390624703269,38.655449424683,0.211242037297805,0.99999884678662
"S","Fill Sand Post - Soil Inversion Post",0.416666666666667,0.473390624703269,38.655449424683,0.880175155407529,0.986194695759967
"S","Preemergent Post - Soil Inversion Post",0.316666666666668,0.473390624703269,38.655449424683,0.668933118109724,0.99737131503948
"Cu","Control Pre - Fill Sand Pre",0.149999999999999,0.207396137361915,35.9275515317057,0.723253585664633,0.995683851987337
"Cu","Control Pre - Preemergent Pre",-0.3,0.207396137361915,35.9275515317058,-1.44650717132927,0.829388958892583
"Cu","Control Pre - Soil Inversion Pre",0.0333333333333327,0.207396137361915,35.9275515317057,0.160723019036582,0.999999824358429
"Cu","Control Pre - Control Post",-0.316666666666669,0.177599737939544,19.9999999999997,-1.78303566401919,0.637427120825014
"Cu","Control Pre - Fill Sand Post",-2.4980018054066e-16,0.207396137361915,35.9275515317057,-1.20445917517137e-15,1
"Cu","Control Pre - Preemergent Post",-0.283333333333333,0.207396137361915,35.9275515317058,-1.36614566181098,0.866231998974408
"Cu","Control Pre - Soil Inversion Post",-0.3,0.207396137361915,35.9275515317059,-1.44650717132927,0.829388958892582
"Cu","Fill Sand Pre - Preemergent Pre",-0.449999999999999,0.207396137361915,35.9275515317056,-2.1697607569939,0.39287313499993
